flower,plant_type,color,hardiness_zones,blooms_in,height,soil_needs,sun_needs,water_needs,maintenance
Achillea (Yarrow),Perennials,"Yarrow comes in a wide range of colors including white, cream, yellow, purple, orange, pink and red.",3-9,"Spring, Summer",This plant usually grows between 30 and 90 cm (1 to 3 ft) in height.,"Achillea will grow best in well drained soil, with a pH between 5.5 and 7.0.",Full sun,low,low
Aconitum (Aconite; Monkshood; Wolfsbane),Perennials,"Aconite flowers come in shades of blue, purple, white, yellow, or even pink.",3-8,"Autumn, Summer","Aconite is a tall plant that grows from 30 cm (1 ft) to 180 cm (6 ft) high, depending on species.","Aconite will perform best in rich, moist and well drained soil, with a pH level between 5.0 and 6.0.","Full sun, Partial sun",avarage,medium
Agapanthus (African Lily; Lily of the Nile),"Bulbs, Perennials","Agapanthus flowers are usually in shades of blue, white and purple.",6-11,"Autumn, Summer","Agapanthus range in height from just 20 cm (8 inches) up to 1,8 m (6 ft) for larger varieties.","Agapanthus grow best in fertile, moist and well-drained soil. The pH of the soil is not so important. It can grow in acid, neutral, and alkaline soils. ","Full sun, Partial sun",avarage,low
Ageratum (Whiteweed; Flossflower),Annuals,"Ageratum flowers come in shades of blue, purple, red, pink and white.",2-11,"Autumn, Summer",These plants can grow up to 60 cm (2 ft) in height.,"Ageratum prefers moist, but well drained soil, with pH between 5.5 and 7.5.","Full sun, Partial sun",avarage,low
Ajuga (Bugle; Bugleweed),"Annuals, Perennials","Ajuga flowers are usually blue, purple and white.",3-10,"Spring, Summer",Ajuga plants can grow up to 30 cm (1 ft) tall.,"The plant grows best in moist and well drained soil, with a pH between 4.0 to 6.5. However, it can handle drought and dry soils.","Partial sun, Shade",avarage,low
Alcea (Hollyhock),"Annuals, Perennials","Hollyhock blooms in a rainbow of colors including red, purple, pink, white, yellow and even almost black.",3-9,Summer,Hollyhocks range in height from 60 cm (2 ft) to 3 metres (10 ft) tall.,"Alcea prefers rich and well drained soil, with a pH between 6.0 and 8.0.",Full sun,avarage,hard
Allium (Ornamental Onion),"Bulbs, Perennials","Most Alliums come in shades of purple, but there are pink, blue, white and yellow varieties as well.",3-10,"Spring, Summer",Alliums range in size from 15 cm (6 inches) to 180 cm (6 ft) giants.,"Alliums are not fussy about their soil, so long as it is well drained.",Full sun,avarage,low
Alstroemeria (Peruvian lily; Lily of the Incas),"Bulbs, Perennials","Alstroemeria flowers come in various colors, from orange, pink, rose, purple, red to yellow and white. ",5-11,"Autumn, Summer",Peruvian lily range from dwarf species (20 cm or 8 inches tall) to the larger varieties that grow up to 120 cm or 4 ft in height.,"The plant grows best in fertile, moist and well drained soil which is neutral or slightly acidic.","Full sun, Partial sun",avarage,low
Amaryllis (Amaryllis),"Bulbs, Perennials",The flower color is usually some shade of pink and sometimes even white.,7-10,"Autumn, Summer",Amaryllis has stem that can reach 30 - 90 cm (1-3 ft) in height and each flower is 6-11 cm (2-4 inches) in diameter. ,Amaryllis grows best in well drained and slightly acidic soil. ,"Full sun, Partial sun",avarage,low
Anemone (Windflower),Perennials,Anemone can be found in all colors of the rainbow.,4-11,"Spring, Autumn, Summer","Anemone can grow from 10 cm to 1,5 metres (4 inches to 5 ft) tall.","The plant likes moist, but well drained soil. Anemones have a wide pH tolerance, from acid to neutral and alkaline.","Full sun, Partial sun",avarage,low
